repo,url,stars,last_push,commits_ahead,commits_behind,files_changed,lines_added,note,recent_commits
zhaikong/deeptutor,https://github.com/zhaikong/deeptutor,0,2026-09-18,1,1220,300,18589,,release: v1.5.1
7L7K/DeepTutor,https://github.com/7L7K/DeepTutor,0,2026-09-16,304,1067,300,17522,,test: remove temporary day3 abort diagnostics | test: separate expected post-restart 404 probes | test: settle day3 browser transitions | test: trace day3 session abort lifecycle | test: trace day3 session fetch abort signals
nimiplatform/DeepTutor,https://github.com/nimiplatform/DeepTutor,0,2026-09-16,1,367,154,17089,,Adapt DeepTutor to the supervised Nimi App runtime
wyr-zal/DeepTutor,https://github.com/wyr-zal/DeepTutor,0,2026-08-13,5,1033,147,16278,,Improve settings model fetching and question notebook lookup UX | 合并官方 v1.5.11 并保留本地扩展 | 合并远端设置与题目笔记优化 | 完成 Android 聊天重构与本地部署脚本 | 新增 DeepTutor Android 移动端
AdamPlatin123/DeepTutor,https://github.com/AdamPlatin123/DeepTutor,0,2026-01-20,7,2043,16,16131,,feat(i18n): load yaml overrides at layout | feat(i18n): localize co-writer editor UI | fix(i18n): apply yaml overrides for traditional variants | fix(i18n): handle zh locale variants in timestamps | fix(i18n): remove duplicate translation keys
antonioMoreira/DeepTutor,https://github.com/antonioMoreira/DeepTutor,0,2026-07-23,3,1113,26,15736,,feat(docs): add guides for syncing fork and installation issues | my fork
hubo1989/DeepTutor,https://github.com/hubo1989/DeepTutor,0,2026-09-18,80,881,300,15128,,"style: fix ruff lint failures (import order, unused import, blank lines) | style: ruff format all new files | test(llm): pin the input[N].status retry to the one case it is for | test(llm): unwrap the accounting layer in the wire-api routing assertions | test(session): cover both notebook INSERT branches for answer images"
zhenghenry04/DeepTutor,https://github.com/zhenghenry04/DeepTutor,0,2026-02-24,1,1908,67,14269,,Add files via upload
LFunTech/DeepTutor,https://github.com/LFunTech/DeepTutor,0,2026-09-25,59,367,300,13358,,记录 test-cn 并行构建阻断证据 | 记录EduPlus2增强校验关闭验证 | 记录test环境EduPlus2回跳修复验证 | 配置 CI 构建依赖镜像源 | 限制前端并行构建资源
malphitee/DeepTutor,https://github.com/malphitee/DeepTutor,0,2026-09-25,31,334,253,12985,,"fix: preserve explicit compose file overrides | fix: select Docker compose stack explicitly | refactor(isolation): promote cross-module helpers to public API | refactor(isolation): type and document the request boundary, drop dead code | 移除 PyPI 工作流"
liteq2025/DeepCorpus,https://github.com/liteq2025/DeepCorpus,0,2026-05-06,98,1620,254,12827,,"[FORK-MOD] tests CI: trigger on custom/dev branch | [FORK-MOD] theme: drop glass + snow themes, keep only light + dark | [FORK-MOD] theme: iteration 2 — neutralize cast, lightness ladder, dedupe border | [FORK-MOD] theme: iteration 3 — borders two-tier, code title via bg, line number | [FORK-MOD] theme: warm neutral palette + theme-aware code blocks + base font bum"
m15983239825-tech/DeepTutor,https://github.com/m15983239825-tech/DeepTutor,0,2026-09-21,6,367,79,12553,,feat: init   deeptutor  shell | feat: merge code | feat: support  cicd | feat: switch user account | merge: desktop-shell monorepo migration (plan A)
wanglc319/DeepTutor,https://github.com/wanglc319/DeepTutor,0,2026-08-18,40,1036,300,12178,,拒绝策略增强：打勿扰标签 + 转人工原因中文化 | 接入 SaleChat 销售业务链路 | 新增拒绝策略单元测试：勿扰标签解析 + 原因中文化 | 直播链接只推一次：CustomerProfile 新增 live_pushed 标记，热度触发推送成功后置位，后续会话不再重复发直播链接；直播接口透传 qywx | 重构 Shirley MCP 服务封装
g4m35/tuto,https://github.com/g4m35/tuto,0,2026-05-09,170,1647,300,11543,,refine launch layout proportions | restore motion and nav state | secure deeptutor browser boundary | stabilize launch and deployment workflows | tune global visual polish
scrrlt/DeepTutor,https://github.com/scrrlt/DeepTutor,2,2026-07-14,388,1982,244,10455,,
renzhan/DeepTutor,https://github.com/renzhan/DeepTutor,0,2026-05-11,5,1551,50,10401,,"Update docker-release.yml | chore: remove PocketBase, add psycopg2-binary, add nginx config | feat: add K12 math guided tutoring capability"
PollyRomoli/DeepTutorMulti,https://github.com/PollyRomoli/DeepTutorMulti,0,2026-07-24,2,1686,152,10252,,Backup commit before OS migration (2026-07-24) | docs: define Polar-first institutional pricing plan
yizhang-dream/DeepTutor,https://github.com/yizhang-dream/DeepTutor,0,2026-09-24,32,447,92,10015,,"fix(web): measure the reading grid, not the window, for panel ceilings | fix(web): 拖拽指针生命周期加固 + 远程 ask-user 暂停会话自愈 | fix(web): 补回合并时丢失的 materialMediaUrl 闭合括号 | refactor(reading): own the page-render predicate in the reading layer | refactor(reading): 拆出 _tool_base 并把 view_figure 移入独立模块"
kdayknight/DeepTutor,https://github.com/kdayknight/DeepTutor,0,2026-01-11,5,2050,13,9982,,Added package-lock.json | Deleted test_json_utils.py | Updated api.ts | Updated next-env.d.ts | Updated page.tsx
SpectrumTantrum/DeepTutor-electron,https://github.com/SpectrumTantrum/DeepTutor-electron,0,2026-05-07,8,1584,36,8710,,"""Claude Code Review workflow"" | ""Claude PR Assistant workflow"" | feat(electron): port DeepTutor to a macOS desktop app | fix(electron): address PR review feedback (C1-C4, H1-H4, M1-M4) | 📝 Add docstrings to `claude/fervent-shaw-033911`"
3kyou1/DeepTutor,https://github.com/3kyou1/DeepTutor,1,2026-04-22,13,1660,183,8639,,feat: add scientist resonance ui flow | feat: import history into profile | feat: improve history profile import flow | feat: localize memory page copy | fix: add scientist resonance diagnostics
Zhaodkiii/DeepTutor,https://github.com/Zhaodkiii/DeepTutor,0,2026-08-01,5,1067,118,8590,,Adapt web layout for mobile navigation | Add mobile auth and responsive home layout | feat(web): add mobile navigation shell
teefisher2k20/DeepTutor,https://github.com/teefisher2k20/DeepTutor,1,2026-08-26,12,1476,72,8306,,fix(deploy): add root package.json build script delegation for Netlify monorepo  | fix(deploy): update netlify publish directory path | fix(docs): resolve markdown linting issues in AGENTS.md and walkthrough | fix: explicit vercel fastapi entrypoint | fix: ignore settings write failures on read-only file systems
SauronLee/DeepTutor,https://github.com/SauronLee/DeepTutor,0,2026-07-30,1,1070,180,8233,,"refactor: remove English prompts, keep zh-only; add essay correction, dashscope "
EmccK/DeepTutor,https://github.com/EmccK/DeepTutor,0,2026-07-31,6,1067,13,8100,,ci(docker): 镜像名跟随当前仓库，兼容 fork 构建 | feat(search): 支持自定义搜索供应商 base_url | feat(web): 搜索 Base URL 输入框展示各供应商官方默认 URL 作为 placeholder | fix(search): 修复回退时把原供应商 key 泄露给回退目标 | style: ruff format base.py
fol2/DeepTutor,https://github.com/fol2/DeepTutor,0,2026-09-03,12,796,76,7976,,fix(chat): preserve exact subscription model | fix(cron): preserve scheduled chat owner identity | fix(knowledge): enforce model owner boundaries | fix(llm): make subscription chats reliable | fix(settings): migrate legacy chat watchdog
alanguan73/DeepTutor,https://github.com/alanguan73/DeepTutor,0,2026-09-10,54,447,65,7303,,test(companion): P1 voice barge-in Playwright smoke | test(companion): use addInitScript for voice MediaRecorder mock | test(web): add companion Playwright smoke including interrupt | test: add academy-pages-smoke for remaining academy routes | test: add psych-smoke Playwright project for /psych dashboard
promoteAI/DeepTutor,https://github.com/promoteAI/DeepTutor,1,2026-09-23,21,262,81,6830,,"feat: enhance launcher shutdown behavior and window management | feat: prefix platform before arch in electron artifact names | feat: use electron to build windows、linux and macos app | fix: remove invalid 'homepage' from linux electron-builder config | fix: skip mac zip step, let electron-builder produce artifact directly"
ALikesToCode/DeepTutor,https://github.com/ALikesToCode/DeepTutor,0,2026-05-10,30,1628,110,6587,,fix: recover completed knowledge uploads | fix: run Cloudflare entrypoint with bash | fix: sanitize rag embeddings | fix: set Cloudflare container entrypoint | fix: start Cloudflare services directly
BJonny/DeepTutor,https://github.com/BJonny/DeepTutor,0,2026-09-23,3,262,49,6496,,feat: add localized prompt examples and language safeguards | feat: add native European Portuguese support
anideebee7/DeepTutor,https://github.com/anideebee7/DeepTutor,0,2026-04-14,5,1736,43,6017,,"feat(exams): expand exam packs with full question bank and seed data | feat: add Exam Packs, Diagnostic Test, Study Plan, Score Predictor & KB APIs | feat: add multi-tenant DB layer, PostgreSQL session/notebook stores, external no | fix: Python detection, GPT-4o token limits, Guide session handling"
suen-kiang/DeepTutor-Desktop,https://github.com/suen-kiang/DeepTutor-Desktop,2,2026-09-09,19,447,31,6006,,chore(desktop): bump version to 1.6.4 | chore: update package-lock.json (npm install v1.6.4 deps) | desktop: add macOS desktop wrapper (Electron shell) | docs: add fork + desktop wrapper notice at README top | feat(desktop): 0.2.0 — 启动动画/无标题栏窗口/主题跟随/绿色托盘
reckDevice/Folibor,https://github.com/reckDevice/Folibor,0,2026-07-18,2,1219,22,5815,,针对client调用和集成方式的分析
huyhuy202nguyen-debug/DeepTutor,https://github.com/huyhuy202nguyen-debug/DeepTutor,0,2026-08-03,1,1065,86,5777,,Initial commit
atwine/DeepTutor-ACE-Uganda,https://github.com/atwine/DeepTutor-ACE-Uganda,0,2026-08-13,223,1067,276,5771,,perf: add pagination to list endpoints (issue #41) | perf: fix gradebook N+1 query — 33x faster (2.7s → 0.08s for 30 students) | perf: parallelize instructor report with asyncio.gather() (issue #43) | perf: replace session.refresh() loops with selectinload() (issue #40) | test: load simulation (7 assignments x 30 students) + gradebook findings
edfeff/DeepTutor,https://github.com/edfeff/DeepTutor,0,2026-08-03,2,1067,300,5746,,fix(auth): use _COOKIE_NAME constant in /status cookie parameter | refactor(auth): read the /status cookie through _COOKIE_NAME too
Vik1n9/DeepTutor,https://github.com/Vik1n9/DeepTutor,0,2026-09-03,1,528,54,5688,,feat: add Traditional Chinese (zh-TW) interface language
longregen/DeepTutor,https://github.com/longregen/DeepTutor,0,2026-09-25,520,2066,168,5628,,
xiaomikkj/DeepTutor,https://github.com/xiaomikkj/DeepTutor,0,2026-08-19,3,962,19,5589,,ci: add Windows desktop installer build workflow | feat(desktop): add Tauri 2 Windows client shell | feat(desktop): grant media permissions and treat insecure origins as secure
apprentus/DeepTutor,https://github.com/apprentus/DeepTutor,1,2026-09-01,16,690,58,5336,,"fix(test): settings routes for fr language (#12) | fix: add missing fr translations (#17) | fix: hide sidebar, usage and model controls for non-admin users (#9) | fix: rename DeepTutor to Encore in chat | rename DeepTutor to Encore across the application"
shandamengcheng/DeepTutor,https://github.com/shandamengcheng/DeepTutor,0,2026-09-09,1,447,93,5191,,feat: integrate local agents across DeepTutor
josegherran/DeepTutor,https://github.com/josegherran/DeepTutor,0,2026-05-04,2,1596,41,5093,,fix errors | update deploy
dhadb/DeepTutor-CN-Desktop,https://github.com/dhadb/DeepTutor-CN-Desktop,0,2026-07-23,4,1165,27,4551,,feat: add DeepTutor CN Desktop fork distribution | fix: expose custom providers for every model service | fix: isolate desktop web runtime per launch | fix: prevent duplicate desktop service launches
DataAI123/DeepTutor,https://github.com/DataAI123/DeepTutor,0,2026-09-24,18,367,73,4303,,test(chat): add P0 browser regressions for regenerate and mastery reconnect | test(rag): fix MinerU capture fixture provenance | test(rag): make symlink guards portable on Windows | test(rag): simulate symlink permission denial in lightrag pipeline test | ﻿fix(mastery): reuse a topic's draft instead of minting a new session
lynlyn0215/DeepTutor,https://github.com/lynlyn0215/DeepTutor,0,2026-07-26,4,1096,28,4275,,chore: add a local double-click launcher | feat(capabilities): add PTE Practice and Agent Decoder
izerui/DeepTutor,https://github.com/izerui/DeepTutor,0,2026-09-25,25,262,43,4063,,在沙箱Docker镜像中添加matplotlib依赖，支持模型生成代码的绘图功能 | 将persona解析逻辑提取到resolve_persona_context，学习者强制加载管理员预设防覆盖 | 将regenerating状态从子组件提升到父组件统一管理，防止多个block同时触发重新生成 | 登录时自动迁移学习者授权：为v2策略补填settings界面权限，防止设置页403 | 降低LLM默认最大并发数从20到5以减轻请求压力
SkadisdogH/DeepTutor,https://github.com/SkadisdogH/DeepTutor,0,2026-08-18,12,1031,300,4009,,"feat: SideChat temporary Q&A, KB index-probe memoization, MinerU large-PDF split | fix(llm): surface real provider errors instead of misleading fallback | fix(web): anchor selected-message toolbar via portal to body | fix(web): contain KaTeX display overflow instead of horizontal page drag | fix(web): replace native scrollbars with custom DOM slider on chat surfaces"
Fares43553/DeepTutor,https://github.com/Fares43553/DeepTutor,0,2026-04-20,8,1686,30,3844,,Update Dockerfile | Update init.ts | feat: Mobile-First UX Redesign | اضافة الغة العربية | مشكلة التشغيل
arkfabio21/DeepTutor,https://github.com/arkfabio21/DeepTutor,0,2026-01-05,4,2153,43,3842,,Add CLAUDE.md project documentation | Fix Portuguese language support in frontend and backend | feat(i18n): add Portuguese language support | feat(i18n): add translations for component strings
tan-huynh/DeepTutor,https://github.com/tan-huynh/DeepTutor,0,2026-06-06,7,1790,28,3601,,feat: Enhance ProposalAgent documentation and prompt construction for comprehens | feat: Implement Co-Scientist pipeline with multi-agent architecture | feat: Increase max_tokens for ProposalAgent and update agent_params for Co-Scien | feat: add Co-Scientist capability and API router with request validation | feat: enhance knowledge base management and add tests
hermegeddon/DeepTutor,https://github.com/hermegeddon/DeepTutor,0,2026-06-29,15,1230,36,3529,,Speed up knowledge base listing | Tune LightRAG indexing for local endpoints | fix: keep DeepTutor MCP KB listing lightweight | fix: normalize subagent cwd API paths | fix: sanitize read-only MCP error messages
jenny07007/DeepTutor,https://github.com/jenny07007/DeepTutor,0,2026-01-08,7,2094,15,3488,,Gracefully disable RagAnything when missing and tighten Python dependency manage | style: apply pre-commit (ruff-format/prettier)
codingwatching/DeepTutor,https://github.com/codingwatching/DeepTutor,0,2026-01-08,7,2094,15,3488,,Gracefully disable RagAnything when missing and tighten Python dependency manage | style: apply pre-commit (ruff-format/prettier)
Zenodia/DeepTutor,https://github.com/Zenodia/DeepTutor,0,2026-01-09,7,2094,15,3488,,Gracefully disable RagAnything when missing and tighten Python dependency manage | style: apply pre-commit (ruff-format/prettier)
wxu19/DeepTutor,https://github.com/wxu19/DeepTutor,0,2026-09-25,526,2055,10,3381,,
sky-and-blue/DeepTutor,https://github.com/sky-and-blue/DeepTutor,0,2026-04-15,3,1758,32,3295,,feat: 在.env文件中添加MySQL密码配置选项 | feat: 增加MySQL密码配置选项 | feat: 完善认证系统和用户体验
cognisphere-space/CogTutor,https://github.com/cognisphere-space/CogTutor,0,2026-07-21,10,1219,44,3294,,"feat: expose generic external identity/context federation | fix(web): harden external brand mark load/render | fix: forward request session_id in plugins execute-stream context | fix: harden external handoff redirect/cookies, wire explicit context bind | fix: populate turn_id in plugins execute-stream context"
wangning1234/DeepTutor,https://github.com/wangning1234/DeepTutor,0,2026-04-13,2,1939,49,3231,,feat: 本地化改造 | 本地优化
wuguojia/DeepTutor,https://github.com/wuguojia/DeepTutor,0,2026-04-28,13,1621,22,3216,,"feat: Add vision model configuration support | feat: Advanced EPUB features - AI classification, vision analysis, performance o | feat: Comprehensive EPUB enhancements - metadata, structure, tests, docs | fix: Correct EPUB ITEM_DOCUMENT and ITEM_IMAGE imports to use ebooklib module | test: Add vision model configuration tests and documentation"
jhuang165/DeepTutor,https://github.com/jhuang165/DeepTutor,0,2026-09-15,9,530,23,3048,,docs: design learning coordinator | docs: plan learning coordinator implementation | feat: raise document upload limit to 300 MiB | fix(web): open encoded knowledge base routes | fix: recover terminal websocket responses
CaoDangVietMy/DeepTutor,https://github.com/CaoDangVietMy/DeepTutor,0,2026-02-03,7,1923,24,3009,,Update brain knowledge with Cloud Run deployment info | feat: Add new operational and deployment `gotchas` to `brain.json` and update th | fix: WebSocket connection failing on Cloud Run | fix: health check now verifies backend is ready | fix: preserve /api prefix in nginx proxy
ApoorvKhanna/DeepTutorClone,https://github.com/ApoorvKhanna/DeepTutorClone,0,2026-04-23,1,1686,10,2912,,"feat(guide): add clearLocalSession, mobile page, and lumen assets"
tajleonbennis-maker/chuhaijiandeeptutor,https://github.com/tajleonbennis-maker/chuhaijiandeeptutor,0,2026-08-18,22,1036,300,2812,,security: remediate DeepTutor Pre-Recon findings (deeptutor/services/sandbox/run | security: remediate DeepTutor Pre-Recon findings (deeptutor/tools/web_fetch.py) | security: remediate DeepTutor Pre-Recon findings (docker-compose.yml) | security: remediate DeepTutor Pre-Recon findings (web/components/chat/home/Sessi | security: remediate DeepTutor Pre-Recon findings (web/lib/markdown-display.ts)
Xike-yuhuofei/Lumen,https://github.com/Xike-yuhuofei/Lumen,0,2026-08-21,31,1007,300,2791,,"fix(teaching): harden EPUB-grounded extraction (#8) | refactor: migrate deeptutor → lumen shipping packages (#18) | refactor: prune unused backend routers, co_writer, and memory_probe | style(evolution): ruff lint + format cleanup for evolution module and bakeoff te | test: remove obsolete tests after pruning (#11)"
kirkjaa/DeepTutor,https://github.com/kirkjaa/DeepTutor,0,2026-01-08,1,2066,11,2301,,"Implement comprehensive updates for Docker deployment, multi-provider LLM suppor"
Ahmed-Anwar-PMO/DeepTutor,https://github.com/Ahmed-Anwar-PMO/DeepTutor,0,2026-05-17,2,1551,41,2288,,Add Arabic setup guide | Add complete Arabic language support
A985zhougan/DeepTutor,https://github.com/A985zhougan/DeepTutor,0,2026-03-09,4,1896,31,2242,,feat(question-tools): add Zhipu GLM-OCR PDF parser and enhance question generati | refactor(question-agents): simplify agent architecture and improve context handl | 接上相关的key
gujingjing/DeepTutor,https://github.com/gujingjing/DeepTutor,0,2026-07-27,1,1084,27,2181,,feat: add GitHub Copilot browser OAuth
BeiJiaan/DeepTutor,https://github.com/BeiJiaan/DeepTutor,0,2026-08-28,7,796,37,2102,,chore(compose): ignore local Compose overlays | chore(compose): support optional runtime proxy | feat(subagents): add Pi CLI integration | feat: add Gemini image and compatible voice providers | fix(web): sync saved response language at bootstrap
spacemanspiff-713/DeepTutor,https://github.com/spacemanspiff-713/DeepTutor,0,2026-08-26,18,1084,17,1934,,fix: repair near-complete course outlines | fix: resume saved course proposals | fix: retry course tutor websocket send until connected | fix: stream course creation over websocket | fix: tighten Grok course compiler prompts
Xin-1005/operating_system_rag,https://github.com/Xin-1005/operating_system_rag,0,2026-04-01,1,1921,300,1919,,feat: finish backend v1 for KG editing and class management before frontend layo
yangeh03/KnowMeTutor,https://github.com/yangeh03/KnowMeTutor,0,2026-04-10,8,1763,115,1850,,fix | simply | 仅保留中文readme. | 修复一些 bug，补充包 | 改名
hey-jude/DeepTutor,https://github.com/hey-jude/DeepTutor,0,2026-09-25,25,0,107,1827,,fix(web): keep single-tilde literal in chat markdown | fix(web): render chat responses in sans-serif | fix(web): wire language state into Appearance language section | fix: fallback en for unknown lang (ko crash) and allow tailscale dev origin | refactor(i18n): centralize Korean detection as shared is_korean
enezatech/DeepTutor,https://github.com/enezatech/DeepTutor,0,2026-09-25,222,1874,27,1760,,refactor(api): enhance API base URL resolution and fallback logic | refactor(api): remove auto-fallback logic for configured API base URL | refactor(api): remove automatic fallback for API base URL configuration | refactor(workflow): simplify Docker image publishing workflow to single architec | refactor(workflow): update workflow name for clarity in Docker image publishing
workdanielchen-alt/DeepTutor,https://github.com/workdanielchen-alt/DeepTutor,0,2026-05-27,27,1495,300,1750,,fix: remove Suspense boundary from knowledge page to prevent React 19 insertBefo | fix: remove loading.tsx to eliminate flash on route transitions | fix: resolve React 19 insertBefore crash on route navigation (Space → Knowledge  | fix: update vendor/deeptutor submodule URL to upstream HKUDS/DeepTutor | refactor: move deeptutor source into vendor/deeptutor/
oscalar/DeepTutor,https://github.com/oscalar/DeepTutor,0,2026-04-29,1,1621,6,1742,,Add AINA Cloudflare container wrapper
dpspace2050/DeepTutor,https://github.com/dpspace2050/DeepTutor,0,2026-04-26,7,1626,8,1697,,feat: merge upstream v1.2.5 + preserve custom modifications | fix: anti-loop guard for consecutive same-tool calls in AgentLoop | fix: enable image attachment passthrough in Bot chat WebSocket | fix: guard Path.is_file() against OSError on long base64 strings | fix: support raw base64 media in ContextBuilder._build_user_content
keaz23/DeepTutor,https://github.com/keaz23/DeepTutor,0,2026-08-19,4,1054,300,1677,,Add SSO | Add login-admin route for dedicated admin login page | Auto add first model to users with no models | Impelement SSO
borinquenkid/DeepTutor,https://github.com/borinquenkid/DeepTutor,0,2026-04-23,50,1642,28,1498,,"style: replace technical jargon with student-friendly role labels (The Brain, Li | style: student-friendly branding and magic links in settings | test: add E2E test for Librarian setup with Gemini | test: add E2E test for zero-friction settings flow and agent roles | test: verify mixed provider hydration; fix: ensure Librarian is always synced wi"
Shahip2016/DeepTutor,https://github.com/Shahip2016/DeepTutor,0,2026-03-04,7,1940,68,1460,,"feat: implement Universal Master Tutor enhancements (Issue #173) | feat: modernize input area with floating design and auto-expanding textarea | feat: redesign message bubbles for a premium chat experience | feat: refactor main layout to include toggleable Sidebar | style: add premium animations, glassmorphism, and custom scrollbars"
hjshysst-dot/DeepTutor,https://github.com/hjshysst-dot/DeepTutor,0,2026-04-22,1,1660,14,1392,,feat: local customizations for IBDP tutoring
prajwal369/DeepTutor,https://github.com/prajwal369/DeepTutor,0,2026-01-01,1,2186,14,1387,,feat: Add local model setup guide and package fixes
gongzili456/DeepTutor,https://github.com/gongzili456/DeepTutor,0,2026-08-15,7,1007,300,1363,,chore: add .qoder workspace configuration | chore: sync with upstream HKUDS/DeepTutor | ci: add upstream sync workflow for fork | docs(repowl): 添加 Obsidian 配置文件和工作区设置 | docs(runtime): 完善统一运行时智能体循环文档
426-330/PV-Mind,https://github.com/426-330/PV-Mind,0,2026-08-24,2,962,10,1333,,Add DWG parsing and wireframe rendering scripts | feat(docs): add initial development plan for PV-Mind based on DeepTutor
1247691206/DeepTutor,https://github.com/1247691206/DeepTutor,0,2026-07-16,9,1222,52,1145,,feat(memory): inject compact L3 context and prefer cheap summary LLM | fix(chat): keep practice-page question state live for the whole session | fix(chat): make per-turn skills load reliably; isolate counselling sessions from | fix(memory): learner-facing summary/profile schema + robust rendering | fix(path-mode): keep quiz follow-ups visible and prefix tenant API/assets
ztang4/DeepTutor,https://github.com/ztang4/DeepTutor,0,2026-09-20,6,528,14,1117,,added extract knowledge code | changed logo | hide github link and documentation links | hided about (关于) page | tested exttrac knowledge code
713zhao/DeepTutor,https://github.com/713zhao/DeepTutor,0,2026-08-01,5,1084,10,1115,,"Add agents config, parent guide, upload and API routes | Add start.bat and start.sh — kill existing processes and restart DeepTutor | Move P4_PARENT_GUIDE.md to doc/ folder | chore(web): keep dev-compiled pages warm; fix multi-user setup docs | fix(web): force webpack over Turbopack for next dev on Windows"
aplaceintime/deeptutor,https://github.com/aplaceintime/deeptutor,0,2026-07-09,1,2229,24,1074,,chore: sync pending local changes
sitaramakrishna/DeepTutor,https://github.com/sitaramakrishna/DeepTutor,0,2026-04-25,9,1626,10,1060,,"docs: expand start_tour section with step-by-step breakdown and add release note | feat: add comprehensive LLM observability — query logging, metrics, latency trac | feat: add query/metrics logging to local provider (Ollama/custom servers) | fix: disable json_object response_format for OpenAI reasoning models | fix: disable json_object response_format for claude models via OpenAI proxy"
ideas24h/DeepTutor,https://github.com/ideas24h/DeepTutor,0,2026-09-23,9,262,13,854,,"merge: role whitelist admits teacher/student (rescued from PR#1567, cleaned) | refactor(auth): gate learner-only paths on ""non-admin"" instead of ""exactly user"" | style(tests): ruff-format the gate-semantics tests | style(tests): ruff-format the role normalization tests | test: align visualize default token budget with runtime (16384) — fixes pre-exis"
YunMeng-ink/DeepTutor-BKT,https://github.com/YunMeng-ink/DeepTutor-BKT,0,2026-07-03,1,1222,13,682,,feat(learning): replace mastery scoring with BKT engine
mysekai7/DeepTutor,https://github.com/mysekai7/DeepTutor,0,2026-08-17,4,962,8,616,,[codex] feat: add configurable default persona for new sessions | [codex] fix: preserve default persona session semantics | [codex] style: format default persona changes
ejang/DeepTutor,https://github.com/ejang/DeepTutor,0,2025-12-31,2,2208,4,601,,Enable local execution with comprehensive setup
waleedarafa/DeepTutor,https://github.com/waleedarafa/DeepTutor,0,2026-05-27,2,1483,4,560,,feat: add claude -p OpenAI-compatible proxy for keyless LLM
codeleakage/DeepTutor,https://github.com/codeleakage/DeepTutor,0,2026-04-17,3,1723,2,554,,docs: add econometrics Deeptutor usage guide | docs: add econometrics prompt templates for DeepTutor
yunusgungor/DeepTutor,https://github.com/yunusgungor/DeepTutor,0,2026-04-09,3,1763,19,480,,"feat: implement knowledge base management API, service logic, and UI integration | feat: implement knowledge base management system with cross-platform file lockin | feat: implement workspace page with chat composer and message list components"
akahabi/DeepTutor,https://github.com/akahabi/DeepTutor,0,2026-04-14,41,1758,5,455,,"fix: correct anthropic package name and add py-spy for runtime profiling | fix: correct anthropic package name in requirements (was incorrectly annotated a | fix: correct anthropicai package name to anthropic, add pytest-xdist for paralle | fix: revert anthropic package name -- 'anthropic' is correct, not 'anthropicai' | increase default top_k from 4 to 5 for better answer quality on longer papers"
